MODZCTA,Positive,Total,zcta_cum.perc_pos,Lat,Long,_geoloc,Neighborhood,Borough
10069,34,89,38.2,40.775906,-73.990358,"{""lat"":40.775906,""lng"":-73.990358}",#N/A,
10075,257,552,46.56,40.773361,-73.956216,"{""lat"":40.773361,""lng"":-73.956216}",Upper East Side,Manhattan
10128,384,976,39.34,40.781432,-73.950013,"{""lat"":40.781432,""lng"":-73.950013}",Upper East Side,Manhattan
10280,27,79,34.18,40.708538,-74.01665,"{""lat"":40.708538,""lng"":-74.01665}",Lower Manhattan,Manhattan
10282,41,85,48.24,40.716921,-74.015066,"{""lat"":40.716921,""lng"":-74.015066}",#N/A,
10301,538,1037,51.88,40.627456,-74.094407,"{""lat"":40.627456,""lng"":-74.094407}",Stapleton and St. George,Staten Island
10302,275,541,50.83,40.630688,-74.137776,"{""lat"":40.630688,""lng"":-74.137776}",Port Richmond,Staten Island
10303,419,760,55.13,40.629885,-74.17413,"{""lat"":40.629885,""lng"":-74.17413}",Port Richmond,Staten Island
10304,718,1409,50.96,40.609227,-74.092575,"{""lat"":40.609227,""lng"":-74.092575}",Stapleton and St. George,Staten Island
10305,636,1386,45.89,40.596691,-74.074866,"{""lat"":40.596691,""lng"":-74.074866}",Stapleton and St. George,Staten Island
10306,809,1829,44.23,40.571768,-74.12595,"{""lat"":40.571768,""lng"":-74.12595}",South Shore,Staten Island
10307,225,469,47.97,40.509183,-74.237785,"{""lat"":40.509183,""lng"":-74.237785}",South Shore,Staten Island
10308,390,903,43.19,40.551884,-74.147646,"{""lat"":40.551884,""lng"":-74.147646}",South Shore,Staten Island
10309,508,1156,43.94,40.531346,-74.219857,"{""lat"":40.531346,""lng"":-74.219857}",South Shore,Staten Island
10310,355,752,47.21,40.632648,-74.116148,"{""lat"":40.632648,""lng"":-74.116148}",Port Richmond,Staten Island
10312,934,1929,48.42,40.545237,-74.180443,"{""lat"":40.545237,""lng"":-74.180443}",South Shore,Staten Island
10314,1402,2923,47.96,40.599263,-74.165748,"{""lat"":40.599263,""lng"":-74.165748}",#N/A,
10451,730,1232,59.25,40.820479,-73.925084,"{""lat"":40.820479,""lng"":-73.925084}",High Bridge and Morrisania,Bronx
10452,986,1534,64.28,40.837393,-73.923437,"{""lat"":40.837393,""lng"":-73.923437}",High Bridge and Morrisania,Bronx
10453,1064,1690,62.96,40.852779,-73.912332,"{""lat"":40.852779,""lng"":-73.912332}",Central Bronx,Bronx
10454,517,828,62.44,40.805489,-73.916585,"{""lat"":40.805489,""lng"":-73.916585}",Hunts Point and Mott Haven,Bronx
10455,523,867,60.32,40.81471,-73.908593,"{""lat"":40.81471,""lng"":-73.908593}",Hunts Point and Mott Haven,Bronx
10456,1057,1737,60.85,40.829881,-73.90812,"{""lat"":40.829881,""lng"":-73.90812}",High Bridge and Morrisania,Bronx
10457,907,1467,61.83,40.84715,-73.89868,"{""lat"":40.84715,""lng"":-73.89868}",Central Bronx,Bronx
10458,902,1571,57.42,40.862543,-73.888143,"{""lat"":40.862543,""lng"":-73.888143}",Bronx Park and Fordham,Bronx
10459,693,1130,61.33,40.825867,-73.892942,"{""lat"":40.825867,""lng"":-73.892942}",Hunts Point and Mott Haven,Bronx
10460,725,1215,59.67,40.841758,-73.879571,"{""lat"":40.841758,""lng"":-73.879571}",Central Bronx,Bronx
10461,965,1794,53.79,40.847381,-73.840584,"{""lat"":40.847381,""lng"":-73.840584}",Southeast Bronx,Bronx
